eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.12,0.1296,0.1136,0.1263999999999999
0.02,0.12,0.128,0.1136,0.136
0.03,0.1231999999999999,0.1328,0.1151999999999999,0.1408
0.04,0.12,0.1375999999999999,0.1216,0.1583999999999999
0.05,0.1231999999999999,0.1423999999999999,0.1296,0.1695999999999999
0.06,0.1263999999999999,0.1488,0.1392,0.1887999999999999
0.07,0.1311999999999999,0.1568,0.1423999999999999,0.2159999999999999
0.08,0.1343999999999999,0.1552,0.1472,0.2191999999999999
0.09,0.136,0.1503999999999999,0.1472,0.2271999999999999
0.1,0.1392,0.1503999999999999,0.152,0.2416
