eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.2966751918158568,0.30434782608695654,0.30179028132992325,0.32480818414322254
0.02,0.3145780051150895,0.31969309462915596,0.3273657289002557,0.3580562659846548
0.03,0.3324808184143222,0.36061381074168797,0.3580562659846548,0.38874680306905374
0.04,0.3785166240409207,0.38874680306905374,0.3785166240409207,0.4398976982097187
0.05,0.4168797953964194,0.4373401534526854,0.40920716112531974,0.47314578005115093
0.06,0.44245524296675187,0.4782608695652174,0.4578005115089514,0.4936061381074168
0.07,0.46547314578005117,0.5012787723785166,0.4782608695652174,0.5115089514066495
0.08,0.4833759590792839,0.5396419437340154,0.4987212276214834,0.5370843989769821
0.09,0.5140664961636829,0.5882352941176471,0.5217391304347826,0.5728900255754475
0.1,0.5217391304347826,0.6061381074168798,0.5345268542199488,0.6035805626598465
