eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.1999999999999999,0.3,0.3,0.25
0.02,0.1999999999999999,0.3,0.3,0.25
0.03,0.1999999999999999,0.3,0.3,0.25
0.04,0.1999999999999999,0.3,0.3,0.3
0.05,0.1999999999999999,0.3,0.3,0.3
0.06,0.1999999999999999,0.3,0.3,0.3
0.07,0.1999999999999999,0.3,0.3,0.3
0.08,0.1999999999999999,0.3,0.3,0.3
0.09,0.1999999999999999,0.3,0.3,0.3
0.1,0.1999999999999999,0.3,0.3,0.3
