eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.12311265969802554,0.12543554006968638,0.1265969802555168,0.10569105691056913
0.02,0.1265969802555168,0.13008130081300817,0.12891986062717775,0.11382113821138207
0.03,0.13008130081300817,0.132404181184669,0.13472706155632985,0.11265969802555165
0.04,0.13356562137049943,0.13588850174216027,0.1382113821138211,0.11149825783972123
0.05,0.13472706155632985,0.1382113821138211,0.13937282229965153,0.11846689895470386
0.06,0.13472706155632985,0.14053426248548195,0.14401858304297332,0.12195121951219512
0.07,0.13356562137049943,0.14169570267131237,0.14169570267131237,0.132404181184669
0.08,0.14401858304297332,0.14518002322880375,0.13937282229965153,0.13937282229965153
0.09,0.148664343786295,0.14169570267131237,0.1382113821138211,0.14169570267131237
0.1,0.148664343786295,0.14634146341463417,0.13472706155632985,0.15214866434378627
