eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.474025974025974,0.5064935064935066,0.487012987012987,0.487012987012987
0.02,0.4935064935064935,0.487012987012987,0.4935064935064935,0.5194805194805194
0.03,0.5324675324675325,0.5194805194805194,0.551948051948052,0.5454545454545454
0.04,0.525974025974026,0.5454545454545454,0.551948051948052,0.5584415584415585
0.05,0.525974025974026,0.5454545454545454,0.564935064935065,0.577922077922078
0.06,0.538961038961039,0.577922077922078,0.551948051948052,0.5
0.07,0.5454545454545454,0.5844155844155844,0.5844155844155844,0.5584415584415585
0.08,0.525974025974026,0.5584415584415585,0.5584415584415585,0.564935064935065
0.09,0.5064935064935066,0.551948051948052,0.577922077922078,0.6233766233766234
0.1,0.5454545454545454,0.525974025974026,0.564935064935065,0.5974025974025974
