eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.12,0.12960000000000005,0.11360000000000003,0.12639999999999996
0.02,0.12,0.128,0.11360000000000003,0.136
0.03,0.12319999999999998,0.13280000000000003,0.11519999999999997,0.14080000000000004
0.04,0.12,0.13759999999999994,0.12160000000000004,0.15839999999999999
0.05,0.12319999999999998,0.14239999999999997,0.12960000000000005,0.16959999999999997
0.06,0.12639999999999996,0.14880000000000004,0.1392,0.18879999999999997
0.07,0.13119999999999998,0.15680000000000005,0.14239999999999997,0.21599999999999997
0.08,0.13439999999999996,0.1552,0.1472,0.21919999999999995
0.09,0.136,0.15039999999999998,0.1472,0.22719999999999996
0.1,0.1392,0.15039999999999998,0.15200000000000002,0.24160000000000004
