eps,eTiOT,eTiOT(k = 20),eTAOT(w = 0.4),eTAOT(w = 2),eTAOT(w = 10)
0.01,36.09637356735766,14.615608990192413,13.82251432724297,13.73639602214098,13.894827891141176
0.02,19.72023491933942,10.163213899359107,13.287788171321154,13.329454015940428,13.525881983339787
0.03,15.551352782174945,9.222507508471608,13.306296713650227,13.472732255235314,13.242231016978621
0.04,13.737582178786397,8.709739949554205,13.270821096375585,13.093249903991818,13.211962325498462
0.05,12.620198434218764,8.577553320676088,13.217010479420424,13.298009969294071,13.428502663969994
0.06,11.77481558918953,8.231031622737646,13.092202849686146,13.412295432761312,13.339364552870393
0.07,11.554513653740287,8.705871883779764,13.403175065293908,13.301791684702039,13.317226262763143
0.08,10.642476355656981,8.053947592154145,13.091667097061872,13.14231095649302,13.05822684802115
0.09,10.457722576335073,8.471289679408073,13.899151777848601,14.438158132135868,13.422363581135869
0.1,10.485994609072804,8.148906810209155,13.105210585519671,13.20705964230001,13.059061350300908
