eps,eTiOT,eTAOT($\omega = \omega_{\text{grid}} \;/\; 5)$, eTAOT($\omega = \omega_{\text{grid}})$, eTAOT($\omega = \omega_{\text{grid}} \times 5)$
0.01,0.2268041237113401,0.2439862542955326,0.2164948453608247,0.2061855670103093
0.02,0.2027491408934707,0.2164948453608247,0.1993127147766322,0.2199312714776632
0.03,0.1993127147766322,0.2061855670103093,0.2233676975945017,0.2233676975945017
0.04,0.2130584192439862,0.2199312714776632,0.2371134020618557,0.2336769759450171
0.05,0.2302405498281786,0.2233676975945017,0.2439862542955326,0.2714776632302406
0.06,0.2336769759450171,0.2508591065292096,0.2680412371134021,0.3264604810996563
0.07,0.2439862542955326,0.2474226804123711,0.3195876288659793,0.3883161512027491
0.08,0.2577319587628865,0.274914089347079,0.3642611683848797,0.4123711340206185
0.09,0.2646048109965635,0.302405498281787,0.40893470790378,0.436426116838488
0.1,0.2920962199312714,0.2955326460481099,0.40893470790378,0.4536082474226804
