eps,eTiOT,eTiOT(k = 20),eTAOT(w = 0.4),eTAOT(w = 2),eTAOT(w = 10)
0.01,35.73456006124616,14.23029656521976,9.2155586425215,20.981266455724835,20.866263980045915
0.02,19.633973302319646,9.994055895134807,8.381276549771428,10.204707248136401,20.90737438760698
0.03,15.453721741214395,9.100482678040862,8.253885976970196,9.000052079558372,20.923011045902967
0.04,13.45725604519248,8.75717849843204,8.133820751681924,8.777592545375228,21.086798399686813
0.05,12.41176524758339,8.377952272072434,8.083174146711826,8.406019730493426,20.811385791748762
0.06,11.513826260343194,8.25683505833149,8.110089430585504,8.38289750367403,20.83987828157842
0.07,11.081516720354557,8.117874253541231,7.969536179676652,8.294266559183598,20.93558051250875
0.08,10.63350754417479,8.059685600921512,7.931507119908929,8.246529269963503,20.854678159579635
0.09,10.341451823711395,8.043533958494663,8.091223189607263,8.184454645961523,20.86492832750082
0.1,10.163019772619009,8.078295264393091,8.031840320676565,8.151902394369245,20.77380731329322

# This is the special file record time when change oriTAOT into eTAOT. We can realise that eTAOT do take less time than eTiOT(k = 20).
 Last column of w = 10 has large time consumed due to over flow faced when w is too large 
