eps,eTiOT,eTiOT(k = 20),eTAOT(w = 0.18),eTAOT(w = 0.9),eTAOT(w = 4.5)
0.01,5292.785031210631,3756.219077160582,3822.82907416299,3818.2001933008432,3887.899684427306
0.02,4364.581427395344,3589.404974279925,3996.8547335844487,3997.6382569894195,4009.1739816050977
0.03,4041.0296211969107,3516.470631523058,3989.5473957173526,3993.997642572969,4002.315619185567
0.04,3879.348753562197,3479.6719141248614,3984.8082303591073,3987.321367044002,3983.7743583880365
0.05,3780.2071178797632,3465.4572043772787,3988.7674179766327,3980.5106627084315,3988.1679592728615
0.06,3707.204516047612,3454.3954162802547,3983.192013539374,3979.1292621195316,3989.294100023806
0.07,3663.5322903301567,3438.990059606731,3983.8479635771364,3981.263281138614,3990.7669710591435
0.08,3635.209142807871,3436.054346619174,3980.865475839004,3989.6388393510133,3985.5259486529976
0.09,3608.674271164462,3425.0837639104575,3984.325226061046,3981.654584189877,3977.336237885058
0.1,3577.3679135143757,3433.684256285429,3986.988470852375,3985.961396496743,3986.507666166872
