eps,eTiOT,eTAOT
0.005,0.37435897435897436,0.36923076923076925
0.01,0.37948717948717947,0.3666666666666667
0.015,0.37948717948717947,0.36923076923076925
0.02,0.3999999999999999,0.38205128205128214
0.025,0.4025641025641026,0.38717948717948714
0.03,0.42820512820512835,0.39743589743589747
0.035,0.4307692307692307,0.3846153846153847
0.04,0.4435897435897437,0.4179487179487179
0.045,0.4538461538461539,0.42564102564102557
0.05,0.45641025641025645,0.4487179487179488
0.055,0.4641025641025641,0.44615384615384623
0.06,0.4717948717948718,0.4666666666666667
0.065,0.4769230769230769,0.47948717948717945
0.07,0.48461538461538467,0.48974358974358967
0.075,0.49230769230769234,0.48974358974358967
0.08,0.5128205128205128,0.5
0.085,0.5282051282051281,0.5102564102564102
0.09,0.5307692307692307,0.5128205128205128
0.095,0.535897435897436,0.5256410256410255
0.1,0.5461538461538462,0.5333333333333334
Final error,0.2941176470588235,0.30179028132992325
