eps,eTiOT,eTAOT
0.005,0.1574084464893577,0.1924774623124977
0.01,0.162439681292784,0.1724460404743202
0.015,0.167452212621105,0.1574458534395691
0.02,0.1699023678599484,0.1624209778176785
0.025,0.1649459469569446,0.1699397748101597
0.03,0.1724460404743201,0.1749897130886918
0.035,0.167452212621105,0.1799648374668013
0.04,0.1874649309841768,0.1724460404743201
0.045,0.1799274305165901,0.1724273369992145
0.05,0.1899337896981259,0.1749523061384805
0.055,0.1849212583698051,0.1724460404743201
0.06,0.1874462275090711,0.1699584782852654
0.065,0.1849399618449109,0.1649459469569446
0.07,0.1799461339916956,0.17992743051659
0.075,0.1749336026633748,0.182452399655856
0.08,0.1699210713350539,0.1874462275090712
0.085,0.1624022743425728,0.1874275240339654
0.09,0.1598960086784124,0.197452586690607
0.095,0.1724273369992145,0.2024651180189279
0.1,0.1699210713350541,0.1949463210264467
Final error,0.2661870503597122,0.3237410071942446
eps_final_error,0.005,0.015
final_error_grid001,0.09,0.02
eps_final_error_grid001,0.3381294964028777,0.3237410071942446
