eps,eTiOT,eTAOT
0.01,0.18514570007107312,0.20016459058092995
0.02,0.18018927916806948,0.17766431002880323
0.03,0.17263307522537685,0.18759585530991663
0.04,0.17762690307859208,0.18508958964575617
0.05,0.1775894961283807,0.16760184042195048
0.06,0.16760184042195048,0.17008940261100525
0.07,0.16260801256873536,0.17010810608611082
0.08,0.16763924737216174,0.17512063741443162
0.09,0.1651329817080014,0.1876332622601279
0.1,0.17762690307859208,0.18263943440691277
Final error,0.3165467625899281,0.3381294964028777
