eps,eTiOT,eTAOT
0.005,0.2133333333333333,0.205
0.01,0.2166666666666666,0.2033333333333332
0.015,0.2166666666666666,0.2099999999999999
0.02,0.2049999999999999,0.2099999999999999
0.025,0.2099999999999999,0.2116666666666665
0.03,0.2083333333333333,0.2133333333333333
0.035,0.2066666666666666,0.2166666666666666
0.04,0.205,0.2149999999999999
0.045,0.2066666666666666,0.2183333333333333
0.05,0.2149999999999999,0.2249999999999999
0.055,0.2099999999999999,0.2266666666666665
0.06,0.2133333333333332,0.2149999999999999
0.065,0.2149999999999999,0.2183333333333332
0.07,0.2183333333333332,0.2183333333333332
0.075,0.2216666666666666,0.2183333333333332
0.08,0.2249999999999999,0.2166666666666666
0.085,0.2166666666666666,0.2149999999999999
0.09,0.22,0.2183333333333333
0.095,0.2233333333333332,0.2249999999999999
0.1,0.2233333333333332,0.2249999999999999
Final error,0.2608695652173913,0.2789855072463768
eps_final_error,0.02,0.01
eps_final_error_grid001,0.02,0.01
final_error_grid001,0.2608695652173913,0.2789855072463768
