eps,eTiOT
0.005,0.19333333333333336
0.01,0.17333333333333334
0.015,0.17333333333333345
0.02,0.18333333333333324
0.025,0.18999999999999995
0.03,0.20166666666666666
0.035,0.21166666666666656
0.04,0.21166666666666656
0.045,0.22000000000000008
0.05,0.2366666666666667
0.055,0.22166666666666668
0.06,0.22166666666666668
0.065,0.23166666666666658
0.07,0.245
0.075,0.2416666666666667
0.08,0.2533333333333333
0.085,0.2666666666666666
0.09,0.2633333333333333
0.095,0.27333333333333343
0.1,0.28166666666666673
Final error,0.22680412371134018
