eps,eTiOT,eTAOT
0.01,0.19166666666666676,0.19333333333333336
0.02,0.19000000000000006,0.20500000000000007
0.03,0.20833333333333337,0.20666666666666667
0.04,0.22000000000000008,0.2333333333333334
0.05,0.22166666666666668,0.23833333333333329
0.06,0.2333333333333334,0.2683333333333334
0.07,0.23833333333333329,0.29166666666666663
0.08,0.2450000000000001,0.31500000000000006
0.09,0.2766666666666667,0.33999999999999997
0.1,0.2866666666666666,0.3583333333333333
Final error,0.20618556701030932,0.21649484536082475
