eps,eTiOT,eTAOT
0.01,0.21497774286462423,0.2324841955635356
0.02,0.2349717577525906,0.24494070998391504
0.03,0.24247185126996607,0.25247821045150187
0.04,0.24752178954849813,0.24746567912318118
0.05,0.25006546216286984,0.24748438259828676
0.06,0.26755321138667565,0.2574533348296114
0.07,0.2600531178693002,0.25997830396887744
0.08,0.26009052481951145,0.252478210451502
0.09,0.2574907417798227,0.24245314779486027
0.1,0.2625032731081435,0.25249691392660756
Final error,0.474025974025974,0.487012987012987
