eps,eTiOT,eTAOT
0.005,0.2400965099315453,0.2400965099315453
0.01,0.2450342273594433,0.2375528373171734
0.015,0.2450529308345491,0.2225526502824224
0.02,0.2350839786032246,0.2276025885609546
0.025,0.2251337298470055,0.2375902442673849
0.03,0.2175962293794188,0.2300714472749035
0.035,0.2276025885609546,0.2300714472749038
0.04,0.2250776194216884,0.2200089776680508
0.045,0.2225713537575281,0.2224965398571053
0.05,0.2150899637152582,0.2199715707178393
0.055,0.2075524632476714,0.2124901806755694
0.06,0.2150151498148357,0.2250215089963715
0.065,0.2200276811431564,0.2350278681779074
0.07,0.2149964463397299,0.2500093517375529
0.075,0.2124901806755694,0.2575281487300341
0.08,0.2074963528223543,0.2700594770508361
0.085,0.2200276811431564,0.2875846332248531
0.09,0.2225713537575281,0.3000972580705495
0.095,0.2475966034489207,0.3076160550630306
0.1,0.2600718213444057,0.3076160550630308
Final error,0.2585365853658536,0.2682926829268293
eps_final_error,0.08,0.055
eps_final_error_grid001,0.08,0.05
final_error_grid001,0.2585365853658536,0.248780487804878
