$\ell$,"$\mathrm{TiOT}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.2}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.5}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.8}(x^{(\ell)}, x^{(0)})$"
0,-1.3552527156068805e-19,0.0,0.0,0.0
1,0.0010138334862054878,0.0006908364502594673,0.0009546884538003608,0.0010027867516736696
2,0.0027101661650407406,0.0014975154983244041,0.0023491402855940354,0.00270610983633739
3,0.004862977902567775,0.0023970398657646667,0.004002130856896671,0.004855792083998353
4,0.007443228555463559,0.003394358946789381,0.005934145644389078,0.007365417178356262
5,0.01102549295709245,0.0045719545575866214,0.008293428627304322,0.010787553821073362
6,0.015214995155982717,0.005938044550445642,0.011241858276902576,0.014876054133456464
7,0.019859623607833603,0.007496244669658117,0.0145115371385017,0.01967833301472068
8,0.024783139810222576,0.009116740555000568,0.01809992908904777,0.02476821651986924
9,0.028648876569254474,0.010411893707792441,0.021089308999055336,0.028526095385161387
10,0.03379235683074351,0.012150244261851174,0.024979522090706557,0.03341948578740989
11,0.03811796966187675,0.01370931379524189,0.028449442486487297,0.03740575752145516
12,0.04271854466848485,0.015420477503116285,0.03223911179114326,0.04146622531963825
13,0.04715237999248172,0.017134203981603525,0.0359738832136147,0.045133173719521476
14,0.052124676760996816,0.01912500839118723,0.04026854951241552,0.049213134853888556
15,0.05735998192707861,0.02118160078600907,0.0447505165485828,0.05346037807970263
16,0.0629024396332985,0.02335355810973948,0.04959146334958386,0.05788564540831179
17,0.06823823970683485,0.025544874188660097,0.05447067340845038,0.06198754187703407
18,0.07410898695932612,0.027968842655362182,0.059897608464753345,0.06646092120740381
19,0.08030425804273901,0.030564876815698798,0.06573836469438679,0.07087645438796704
20,0.08703410856026605,0.03334200346763955,0.07219985710604071,0.0758933711294408
21,0.09425426123229179,0.036242583377326075,0.07909049027748305,0.08113808097188059
22,0.10194028315186063,0.03950657521951199,0.08663921716482967,0.08677746943683326
23,0.10810180492262841,0.04234898141490618,0.09301219209459385,0.09075888026714442
24,0.11475294679751398,0.0454079045868796,0.0998297769792641,0.09524968477578143
25,0.12262301024831408,0.0489030558826345,0.1077368101774727,0.1006947339309692
26,0.1301455342894698,0.052411497732815046,0.11565501811299145,0.10559769518731384
27,0.13752711036711363,0.05601113140530789,0.12361728560199545,0.1100946506984954
28,0.14409421832033065,0.05932937364500026,0.13102972724222128,0.11382239712748478
29,0.15160076409223913,0.06290877564629042,0.13902579999920284,0.11813000928024203
30,0.15897142191071786,0.06660161901863436,0.14681805253227845,0.12237010474076779
31,0.16572770387988905,0.07012155804693913,0.1540793419598337,0.12616373598699843
32,0.1728072630732843,0.07372296543289726,0.16151727624215295,0.13014031184218544
33,0.179764373030304,0.07741309752851892,0.16894457796477352,0.13386327879843082
34,0.18575035382181232,0.08091068118245588,0.17561775829703172,0.13681630120859467
35,0.19201642339263292,0.08454685317612985,0.1824762751446108,0.13978019056885962
36,0.19893352379571927,0.08839269328820781,0.18985582234837625,0.1431821501226488
37,0.20564413618945843,0.09237501730990902,0.19703904962539323,0.14638961502264208
