$\ell$,"$\mathcal{D}_2(x^{(\ell)}, x^{(0)})$","$\mathcal{W}_{2, 0.2}(x^{(\ell)}, x^{(0)})$","$\mathcal{W}_{2, 0.5}(x^{(\ell)}, x^{(0)})$","$\mathcal{W}_{2, 0.8}(x^{(\ell)}, x^{(0)})$"
0,0.0,0.0,0.0,0.0
1,0.031840751972990335,0.02628376780941932,0.030898033170419777,0.031666808359442696
2,0.05205925628589733,0.03869774539071242,0.04846793048598254,0.05202028293211591
3,0.06973505504814473,0.04895957379067619,0.06326239686335534,0.06968351371736613
4,0.0862741476658191,0.05826112723582836,0.07703340602874234,0.08582200870613704
5,0.10500234738848671,0.06761622998649526,0.09106826355709392,0.10386314948562538
6,0.12334907845615514,0.07705870846598482,0.10602762978064999,0.12196743062578823
7,0.14092417680381747,0.08658085625389782,0.12046384162271141,0.14027948180229594
8,0.15742661722282728,0.09548162417450055,0.1345359769320005,0.15737921247696354
9,0.16925979017254653,0.10203868730923797,0.14522158585780331,0.1688967003382878
