len,TiOT,eTiOT,fast_eTiOT,eTAOT
100,1.980016778409481,1.108737525343895,0.5158686757087707,0.3425227202475071
200,10.429952260293067,3.4493314957246186,1.6735500033944846,1.5432019609957934
300,28.879382336698473,6.60768865775317,3.1415616627782583,2.94953525159508
400,54.37475177049637,6.518681566976011,3.5399463687092068,3.1139421589672565
500,150.07226605117322,16.16644814480096,9.769785178638994,8.65790200624615
600,286.0578243492171,17.010805233009158,6.722730284929275,5.340992194414139
700,472.1486070994288,585.7480546880513,264.07859155815095,103.78479884155095
900,1272.984386901185,498.7338274162263,201.29612861126662,121.64631132353097
1100,,816.4263522559777,218.5158612733707,216.45470529049635
1300,,682.7799447113648,269.6189515372738,148.1994551729411
1500,,893.926438295655,294.27302140202374,168.07295422200113
1800,,914.2702572042123,277.5529431367293,170.18456284645944
2100,,1098.1788551697507,309.08289154060185,164.70588221419604
