len,TiOT,TAOT,eTiOT,eTAOT
100,0.11660420000000027,0.002343799999999341,0.010703999999999603,0.0045239999999999725
200,0.7965739000000003,0.003067299999999662,0.01902699999999946,0.006746100000000865
300,3.1386652,0.008008900000000096,0.032622399999999274,0.006075199999999725
400,8.575077699999998,0.012248899999999452,0.12192270000000249,0.009667499999999052
500,17.086415,0.020568199999999592,0.16276640000000242,0.016698099999999272
600,29.843161200000004,0.02909009999999057,0.2313073999999915,0.020309699999998543
700,,0.04284579999999494,0.28910079999999994,0.03284370000000081
800,,0.054434399999991,0.4173450999999915,0.04181509999999378
900,,0.07089020000000801,0.4657324000000074,0.0574266999999935
1000,,0.08995600000000081,0.5959902999999969,0.06755730000000426
