len,TiOT,TAOT,eTiOT,eTAOT
200,0.7884251000000004,0.0030272999999994,0.01955660000000048,0.005327699999999602
400,8.455756500000001,0.01244909999999777,0.09571399999999741,0.009496500000000907
600,31.3797423,0.03722479999999706,0.2261223000000001,0.02179350000000113
800,,0.05829460000000353,0.39139300000000077,0.03059189999999745
1000,,0.08491259999999556,0.5519511999999906,0.052605399999990254
1200,,0.14684049999999615,0.8648579999999981,0.0935939000000019
1400,,0.20127920000000188,1.1126547000000073,0.1341831999999954
1600,,0.28768330000001185,1.4778941000000003,0.1575301999999965
1800,,0.35321500000000583,1.8741162000000031,0.22438170000000923
2000,,0.452876300000014,2.361171600000006,0.2829563000000235
